epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,1379.74,0.43122,0.52001,0.25996,0.7878,0,0.99486,0.9978,0.99495,0.94226,0.99303,0.99595,0.99455,0.81472,0.38805,0.58768,0.24561,0.77619,0,0.000254791,0.000254791,0.000254791
85,1396.31,0.4221,0.51631,0.25665,0.78495,0,0.99309,0.99655,0.99493,0.9411,0.99138,0.99483,0.99451,0.8141,0.38901,0.59349,0.2399,0.77525,0,0.000240644,0.000240644,0.000240644
86,1412.74,0.42439,0.519,0.25758,0.78827,0,0.99212,0.99886,0.99493,0.94372,0.99075,0.99552,0.99453,0.81351,0.38479,0.58446,0.23945,0.77514,0,0.000226497,0.000226497,0.000226497
87,1429.12,0.42303,0.52243,0.25675,0.78876,0,0.9928,0.99823,0.99495,0.94009,0.9911,0.99651,0.99424,0.80776,0.38677,0.59185,0.23856,0.77628,0,0.000212349,0.000212349,0.000212349
88,1445.5,0.41645,0.51206,0.25323,0.787,0,0.99273,0.99828,0.99495,0.94368,0.99103,0.99655,0.99437,0.8127,0.38968,0.59702,0.2395,0.77765,0,0.000198202,0.000198202,0.000198202
89,1461.93,0.41634,0.5144,0.25235,0.78676,0,0.99309,0.99828,0.99493,0.93982,0.99138,0.99655,0.99449,0.817,0.38665,0.58815,0.23835,0.77623,0,0.000184055,0.000184055,0.000184055
90,1478.36,0.41508,0.51015,0.25163,0.78581,0,0.9929,0.9984,0.99495,0.94055,0.9911,0.99655,0.99445,0.80989,0.39413,0.59139,0.23647,0.77774,0,0.000169908,0.000169908,0.000169908
91,1493.21,0.39297,0.52274,0.23362,0.7819,0,0.98919,0.9993,0.99495,0.9426,0.99076,0.99274,0.99462,0.81361,0.39289,0.58999,0.24203,0.7772,0,0.000155761,0.000155761,0.000155761
92,1507.97,0.38987,0.50532,0.23105,0.77774,0,0.99231,0.9988,0.99491,0.93842,0.99086,0.99602,0.9944,0.8115,0.39579,0.60741,0.24076,0.77846,0,0.000141614,0.000141614,0.000141614
93,1522.65,0.38728,0.50093,0.2296,0.78052,0,0.99272,0.99598,0.99493,0.94082,0.99101,0.99425,0.99421,0.81021,0.38723,0.60061,0.23858,0.7763,0,0.000127467,0.000127467,0.000127467
94,1537.32,0.3823,0.48756,0.22714,0.7798,0,0.9906,0.99881,0.99493,0.94445,0.99103,0.99687,0.99493,0.81674,0.38753,0.5986,0.23348,0.77617,0,0.00011332,0.00011332,0.00011332
95,1551.9,0.38013,0.49941,0.22455,0.77575,0,0.99452,0.99635,0.99495,0.93803,0.99285,0.99444,0.99444,0.81516,0.39413,0.59753,0.23513,0.7758,0,9.91726e-05,9.91726e-05,9.91726e-05
96,1566.51,0.37979,0.49296,0.22415,0.77841,0,0.99433,0.99828,0.99493,0.9429,0.99262,0.99655,0.99451,0.81408,0.3917,0.59895,0.23402,0.7783,0,8.50255e-05,8.50255e-05,8.50255e-05
97,1581.1,0.37587,0.49671,0.22253,0.77964,0,0.99292,0.99828,0.99493,0.94191,0.99116,0.99655,0.99449,0.81779,0.38651,0.60329,0.23332,0.77535,0,7.08784e-05,7.08784e-05,7.08784e-05
98,1595.61,0.37827,0.4973,0.22126,0.78112,0,0.993,0.99861,0.99495,0.94352,0.99122,0.99655,0.99451,0.81685,0.38441,0.59195,0.23111,0.77606,0,5.67313e-05,5.67313e-05,5.67313e-05
99,1610.22,0.37237,0.4864,0.21822,0.77873,0,0.99255,0.99876,0.99493,0.9452,0.99118,0.99483,0.99453,0.81578,0.38403,0.59043,0.22811,0.77645,0,4.25842e-05,4.25842e-05,4.25842e-05
100,1624.87,0.37491,0.49381,0.21788,0.77971,0,0.99435,0.99842,0.99495,0.94406,0.99281,0.99655,0.99456,0.81793,0.38506,0.59039,0.2293,0.77608,0,2.84371e-05,2.84371e-05,2.84371e-05
