epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,1773.26,0.38882,0.47951,0.22959,0.79082,0,0.99732,0.99481,0.99495,0.93911,0.99732,0.99481,0.99495,0.82063,0.37145,0.59632,0.20781,0.77314,0,0.000674488,0.000674488,0.000674488
82,1794.99,0.38374,0.46461,0.2251,0.7862,0,0.99673,0.99485,0.9949,0.94128,0.99673,0.99485,0.9949,0.82109,0.3741,0.61753,0.20983,0.77275,0,0.000665057,0.000665057,0.000665057
83,1816.76,0.39293,0.47646,0.22844,0.79575,0,0.99627,0.99314,0.99493,0.94189,0.995,0.99141,0.99463,0.82374,0.38017,0.62741,0.21284,0.77433,0,0.000655625,0.000655625,0.000655625
84,1838.47,0.38783,0.46675,0.22471,0.78932,0,0.99357,0.99608,0.99497,0.94345,0.99186,0.99437,0.99483,0.83511,0.37673,0.60806,0.21388,0.77459,0,0.000646194,0.000646194,0.000646194
85,1860.3,0.38507,0.46937,0.22107,0.79146,0,0.9973,0.99607,0.99497,0.94526,0.9973,0.99607,0.99497,0.83001,0.36626,0.59711,0.20712,0.77188,0,0.000636762,0.000636762,0.000636762
86,1882.08,0.38693,0.48324,0.22485,0.78884,0,0.99667,0.99387,0.99497,0.9404,0.99495,0.99216,0.99486,0.82185,0.37125,0.58251,0.2099,0.77224,0,0.000627331,0.000627331,0.000627331
87,1903.85,0.38891,0.46399,0.22853,0.79137,0,0.9947,0.99737,0.99495,0.94713,0.9947,0.99737,0.99495,0.82922,0.36373,0.58079,0.20526,0.77037,0,0.0006179,0.0006179,0.0006179
88,1925.6,0.38091,0.46665,0.22364,0.79011,0,0.99724,0.99311,0.99493,0.94263,0.99724,0.99311,0.99493,0.81975,0.36402,0.59088,0.20351,0.77121,0,0.000608468,0.000608468,0.000608468
89,1947.35,0.38336,0.46575,0.22142,0.79015,0,0.99799,0.99451,0.995,0.94306,0.99799,0.99451,0.995,0.83235,0.36552,0.60285,0.20338,0.77016,0,0.000599037,0.000599037,0.000599037
90,1969.07,0.38698,0.479,0.22312,0.79052,0,0.9957,0.99788,0.99497,0.94699,0.9957,0.99788,0.99497,0.82981,0.36387,0.58609,0.20548,0.77067,0,0.000589605,0.000589605,0.000589605
91,1990.79,0.3819,0.46582,0.22212,0.79021,0,0.99903,0.99314,0.99498,0.94717,0.99903,0.99314,0.99498,0.82327,0.3625,0.60902,0.20139,0.77175,0,0.000580174,0.000580174,0.000580174
92,2012.52,0.37577,0.45934,0.22123,0.78737,0,0.99369,0.99495,0.9949,0.94857,0.99369,0.99495,0.9949,0.82566,0.35684,0.58219,0.20092,0.7709,0,0.000570743,0.000570743,0.000570743
93,2034.26,0.37397,0.46842,0.21868,0.7863,0,0.99741,0.99796,0.99498,0.94897,0.99741,0.99796,0.99498,0.83333,0.35794,0.58614,0.19913,0.77139,0,0.000561311,0.000561311,0.000561311
94,2056.05,0.37622,0.46431,0.22061,0.78609,0,0.99114,0.99689,0.99479,0.94583,0.99114,0.99689,0.99479,0.83113,0.35831,0.58799,0.20673,0.76999,0,0.00055188,0.00055188,0.00055188
95,2077.76,0.3726,0.45725,0.21932,0.79153,0,0.99258,0.99524,0.99495,0.94363,0.99258,0.99524,0.99495,0.82748,0.36799,0.60522,0.20939,0.77214,0,0.000542448,0.000542448,0.000542448
96,2099.49,0.37204,0.45736,0.21571,0.78987,0,0.9959,0.99502,0.99491,0.9457,0.9959,0.99502,0.99491,0.82935,0.36398,0.61557,0.20504,0.7712,0,0.000533017,0.000533017,0.000533017
97,2121.19,0.37731,0.46735,0.21898,0.78783,0,0.99461,0.99768,0.99498,0.94414,0.99461,0.99768,0.99498,0.83065,0.36659,0.60779,0.20758,0.77147,0,0.000523586,0.000523586,0.000523586
98,2142.9,0.36658,0.45075,0.21408,0.78979,0,0.99734,0.99678,0.99498,0.94418,0.99734,0.99678,0.99498,0.82554,0.36501,0.60319,0.20278,0.77093,0,0.000514154,0.000514154,0.000514154
99,2164.68,0.3722,0.45161,0.21439,0.78701,0,0.99876,0.99474,0.995,0.9449,0.99876,0.99474,0.995,0.83069,0.36651,0.59997,0.20175,0.77217,0,0.000504723,0.000504723,0.000504723
100,2186.42,0.37139,0.45225,0.21404,0.78707,0,0.99535,0.99829,0.99498,0.94602,0.99535,0.99829,0.99498,0.83293,0.36116,0.57621,0.20015,0.76945,0,0.000495291,0.000495291,0.000495291
101,2208.12,0.36698,0.46102,0.21519,0.78878,0,0.99611,0.99721,0.99497,0.94635,0.99611,0.99721,0.99497,0.83091,0.36093,0.59183,0.20045,0.77081,0,0.00048586,0.00048586,0.00048586
102,2229.81,0.36841,0.4527,0.2118,0.78693,0,0.9975,0.99815,0.99495,0.94799,0.9975,0.99815,0.99495,0.83327,0.36096,0.58043,0.19805,0.76999,0,0.000476429,0.000476429,0.000476429
103,2251.53,0.3731,0.45778,0.21402,0.78775,0,0.99641,0.9947,0.99493,0.94736,0.99641,0.9947,0.99493,0.83015,0.35902,0.58753,0.19583,0.77059,0,0.000466997,0.000466997,0.000466997
104,2273.25,0.36677,0.44936,0.21238,0.78535,0,0.99602,0.99829,0.99493,0.94644,0.99602,0.99829,0.99493,0.83114,0.35802,0.58603,0.19684,0.77086,0,0.000457566,0.000457566,0.000457566
105,2295.03,0.36642,0.45951,0.21106,0.78737,0,0.99614,0.99571,0.99495,0.94787,0.99614,0.99571,0.99495,0.82905,0.35339,0.56761,0.2008,0.76828,0,0.000448134,0.000448134,0.000448134
106,2316.84,0.36461,0.44939,0.208,0.78467,0,0.99543,0.99812,0.99497,0.95046,0.99371,0.99641,0.99437,0.83835,0.35546,0.57042,0.19274,0.77194,0,0.000438703,0.000438703,0.000438703
107,2338.64,0.36538,0.44851,0.20864,0.78812,0,0.99526,0.99798,0.9949,0.94746,0.99526,0.99798,0.9949,0.83947,0.35935,0.57837,0.19632,0.77103,0,0.000429272,0.000429272,0.000429272
108,2360.36,0.36717,0.44763,0.21064,0.7837,0,0.99613,0.99823,0.99491,0.94869,0.99613,0.99823,0.99491,0.83455,0.36032,0.5952,0.19715,0.77098,0,0.00041984,0.00041984,0.00041984
109,2382.08,0.36452,0.44757,0.21116,0.78674,0,0.99716,0.99735,0.99497,0.94865,0.99716,0.99735,0.99497,0.83542,0.35689,0.5837,0.19474,0.77022,0,0.000410409,0.000410409,0.000410409
110,2403.76,0.35651,0.43809,0.2034,0.78552,0,0.99738,0.99526,0.99497,0.94923,0.99565,0.99356,0.99486,0.83287,0.34981,0.58018,0.18889,0.76866,0,0.000400977,0.000400977,0.000400977
111,2425.46,0.36158,0.44174,0.20667,0.78581,0,0.99604,0.99674,0.99498,0.94716,0.99604,0.99674,0.99498,0.82913,0.35466,0.58758,0.19126,0.76981,0,0.000391546,0.000391546,0.000391546
112,2447.16,0.35651,0.43745,0.20077,0.78659,0,0.99598,0.99539,0.99497,0.95117,0.99598,0.99539,0.99497,0.83059,0.35146,0.58288,0.19172,0.76882,0,0.000382115,0.000382115,0.000382115
113,2468.89,0.36774,0.44689,0.20822,0.78394,0,0.99338,0.99655,0.99488,0.94757,0.99338,0.99655,0.99488,0.82746,0.35297,0.58701,0.19424,0.76926,0,0.000372683,0.000372683,0.000372683
114,2490.58,0.35469,0.43992,0.20199,0.78734,0,0.9951,0.99655,0.99493,0.94936,0.9951,0.99655,0.99493,0.83219,0.34788,0.58678,0.18502,0.76834,0,0.000363252,0.000363252,0.000363252
115,2512.28,0.35213,0.43487,0.20148,0.78548,0,0.9954,0.99655,0.99498,0.951,0.99369,0.99485,0.99473,0.82733,0.35208,0.57541,0.1902,0.7697,0,0.00035382,0.00035382,0.00035382
116,2534,0.35397,0.43324,0.19984,0.7846,0,0.99746,0.99797,0.99493,0.95105,0.99574,0.99626,0.99468,0.83451,0.34857,0.56494,0.18703,0.76966,0,0.000344389,0.000344389,0.000344389
117,2555.69,0.34989,0.43091,0.20124,0.78498,0,0.99621,0.99655,0.99497,0.95048,0.99621,0.99655,0.99497,0.83551,0.35235,0.57634,0.19183,0.76884,0,0.000334958,0.000334958,0.000334958
118,2577.41,0.34869,0.43368,0.19881,0.78517,0,0.9981,0.9965,0.99493,0.94768,0.9981,0.9965,0.99493,0.832,0.35256,0.58219,0.19031,0.76951,0,0.000325526,0.000325526,0.000325526
119,2599.12,0.34672,0.43519,0.19822,0.78698,0,0.9965,0.99655,0.99498,0.94904,0.9965,0.99655,0.99498,0.83703,0.34945,0.57115,0.18807,0.7689,0,0.000316095,0.000316095,0.000316095
120,2620.84,0.34779,0.43387,0.19918,0.78662,0,0.99619,0.99655,0.99493,0.95281,0.99619,0.99655,0.99493,0.83744,0.35342,0.57754,0.19025,0.77042,0,0.000306663,0.000306663,0.000306663
121,2642.63,0.34919,0.44093,0.20025,0.78679,0,0.99415,0.99647,0.99495,0.94899,0.99244,0.99478,0.9949,0.83677,0.35122,0.56922,0.19157,0.76847,0,0.000297232,0.000297232,0.000297232
122,2664.33,0.34734,0.4275,0.19695,0.78421,0,0.99782,0.99628,0.99495,0.94924,0.9961,0.99457,0.99488,0.83379,0.35261,0.58663,0.18976,0.76974,0,0.000287801,0.000287801,0.000287801
